Nombre,Naturaleza,Id,Tipo,Dirección,Localidad,Provincia,Código_Postal,FAX,Teléfono,Email,Web
Escuela Territorial de Técnicos y Técnicos Superiores Deportivos de Fútbol y Fútbol Sala,Privado,[13005461],Centro Privado Autorizado de Enseñanzas Deportivas,"Cl. Herencia, S/N",Alcazar de San Juan,(Ciudad Real),CP :13170,,,,
Gloria Fuertes,Público,[13004870],Colegio de Educación Infantil y Primaria,"Cl. Doctor Jesus Gonzalez Merlo, S/N",Alcazar de San Juan,(Ciudad Real),CP :13600,926542855,926551169,13004870.cp@edu.jccm.es,http://ceip-gloriafuertesalcazar.centros.castillalamancha.es/
Jardín de Arena,Público,[13010900],Colegio de Educación Infantil y Primaria,"Cl. Juan Genoves, S/N",Alcazar de San Juan,(Ciudad Real),CP :13600,926552383,926547107,13010900.cp@edu.jccm.es,http://edu.jccm.es/cp/n8alcazar/
Jesús Ruiz de la Fuente,Público,[13000128],Colegio de Educación Infantil y Primaria,"Cl. Santo Domingo, 8",Alcazar de San Juan,(Ciudad Real),CP :13600,926540386,926540386,13000128.cp@edu.jccm.es,http://ceip-jesusruiz.centros.castillalamancha.es
Juan Bosco,Público,[13000220],Instituto de Educación Secundaria,"Av. de los Institutos, S/N",Alcazar de San Juan,(Ciudad Real),CP :13600,926540346,926540369,13000220.ies@edu.jccm.es,http://edu.jccm.es/ies/juanbosco
Juan de Austria,Público,[13000116],Colegio de Educación Infantil y Primaria,"Cl. Maria Monreal, 18",Alcazar de San Juan,(Ciudad Real),CP :13600,926547271,926546283,13000116.cp@edu.jccm.es,http://ceip-juandeaustria.centros.castillalamancha.es
La Equidad,Público,[13004705],Escuela Oficial de Idiomas,"Cl. Corregidor, 2",Alcazar de San Juan,(Ciudad Real),CP :13600,926588071,926547958,13004705.eoi@edu.jccm.es,http://eoi-laequidad.centros.castillalamancha.es
María Zambrano,Público,[13004687],Instituto de Educación Secundaria,"Av. de los Institutos,S/N",Alcazar de San Juan,(Ciudad Real),CP :13600,926547523,926547454,13004687.ies@edu.jccm.es,http://ies-maria-zambrano.centros.castillalamancha.es
Miguel de Cervantes Saavedra,Público,[13000219],Instituto de Educación Secundaria,"Cl. Jesus de Haro, S/N",Alcazar de San Juan,(Ciudad Real),CP :13600,926540990,926540956,13000219.ies@edu.jccm.es,http://ies-cervantes.centros.castillalamancha.es
Nuestra Señora de la Trinidad,Priv.Concert.,[13000190],Centro Privado de Educación Infantil Primaria y Secundaria,"Pz. del Horno, 16",Alcazar de San Juan,(Ciudad Real),CP :13600,926542466,926541166,nstrinidadepasj@yahoo.es,
Pablo Ruiz Picasso,Público,[13004092],Colegio de Educación Infantil y Primaria,"Cl. Solidaridad, 55",Alcazar de San Juan,(Ciudad Real),CP :13600,926547258,926541003,13004092.cp@edu.jccm.es,http://ceip-pabloruizpicasso.centros.castillalamancha.es
Pasitos,Privado,[13011667],Centro Privado de Educación Infantil,"Av. de las Regiones, 41",Alcazar de San Juan,(Ciudad Real),CP :13600,,,,
Pinocho,Privado,[13011679],Centro Privado de Educación Infantil,"Cl. Salamanca, 20",Alcazar de San Juan,(Ciudad Real),CP :13600,,926545911,,
Sagrada Familia,Priv.Concert.,[13000189],Centro Privado de Educación Infantil Primaria y Secundaria,"Pz. de Santa Quiteria, 13",Alcazar de San Juan,(Ciudad Real),CP :13600,926588092,926540167,direccion@colegiosafa.es,
Santa Clara,Público,[13000131],Colegio de Educación Infantil y Primaria,"Ps. del Parque, 2",Alcazar de San Juan,(Ciudad Real),CP :13600,926540813,926540813,13000131.cp@edu.jccm.es,http://ceip-santaclara.centros.castillalamancha.es
Santísima Trinidad,Priv.Concert.,[13000165],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Trinidad, 31",Alcazar de San Juan,(Ciudad Real),CP :13600,926540779,926540779,strinidadasj@planalfa.es,
Don Rodrigo,Público,[13000256],Colegio de Educación Infantil y Primaria,"Cl. Cervantes, 24",Alcoba,(Ciudad Real),CP :13116,926770037,926770037,13000256.cp@edu.jccm.es,http://edu.jccm.es/cp.donrodrigo
- Sin Denominación -,Público,[13005072],Aula de Educación de Adultos,"Cl. Escuelas, 1",Alcolea de Calatrava,(Ciudad Real),CP :13107,926762261,926778803,13005072.cea@edu.jccm.es,http://edu.jccm.es/cepa/piedrabuena
- Sin Denominación -,Público,[13012064],Escuela de Educación Infantil,Cl. Escuelas Esquina Calle Antonio Machado,Alcolea de Calatrava,(Ciudad Real),CP :13107,,,,
Tomasa Gallardo,Público,[13000293],Colegio de Educación Infantil y Primaria,"Cl. Escuelas, 3",Alcolea de Calatrava,(Ciudad Real),CP :13107,926772069,926772069,13000293.cp@edu.jccm.es,http://edu.jccm.es/cp/tomasagallardo
Nuestra Señora del Rosario,Público,[13000301],Colegio de Educación Infantil y Primaria,"Rd. de las Escuelas, S/N",Alcubillas,(Ciudad Real),CP :13391,926356168,926356065,13000301.cp@edu.jccm.es,http://edu.jccm.es/cp/n.s.rosario
El Parque,Público,[13011254],Escuela de Educación Infantil,"Cl. Escuelas, S/N",Aldea del Rey,(Ciudad Real),CP :13380,926865106,926866910,ayto.aldeadelrey@cim.es,
Escuela Municipal de Música y Danza de Aldea del Rey,Público,[13009557],Escuela Pública de Música y Danza,"Cl. Cervantes, 41",Aldea del Rey,(Ciudad Real),CP :13380,,926866910,ayto.aldeadelrey@cim.es,
Maestro Navas,Público,[13000311],Colegio de Educación Infantil y Primaria,"Cl. Cervantes, 39",Aldea del Rey,(Ciudad Real),CP :13380,926865122,926865122,13000311.cp@edu.jccm.es,http://ceip-maestronavas.centros.castillalamancha.es
Nuestra Señora de Fátima,Público,[13000323],Colegio de Educación Infantil y Primaria,"Cl. Necropolis Visigoda, S/N",Alhambra,(Ciudad Real),CP :13248,,926356780,13000323.cp@edu.jccm.es,http://edu.jccm.es/cp/sra.fatima
Sagrado Corazón,Público,[13000335],Colegio de Educación Infantil y Primaria,"Cl. San Antón, 17",Pozo de la Serna,(Ciudad Real),CP :13390,926357005,926357005,13000335.cp@edu.jccm.es,
- Sin Denominación -,Público,[13004298],Centro Público de Educación de Personas Adultas,"Pz. Waldo Ferrer, 41-1º",Almaden,(Ciudad Real),CP :13400,,926713334,13004298.cea@edu.jccm.es,http://cepa-almaden.centros.castillalamancha.es
Arco Iris,Público,[13011266],Escuela de Educación Infantil,"Cl. Gregorio Lillo, S/N",Almaden,(Ciudad Real),CP :13400,,926712432,arcoiris@almaden.es,
Hijos de Obreros,Público,[13000360],Colegio de Educación Infantil y Primaria,"Av. de la Libertad, 1",Almaden,(Ciudad Real),CP :13400,926710424,926710424,13000360.cp@edu.jccm.es,http://ceip-hijosdeobreros.centros.castillalamancha.es
Jesús Nazareno,Público,[13000359],Colegio de Educación Infantil y Primaria,"Cl. Cuenca, S/N",Almaden,(Ciudad Real),CP :13400,926264011,926264011,13000359.cp@edu.jccm.es,http://ceip-jesusnazareno.centros.castillalamancha.es
Mercurio,Público,[13000384],Instituto de Educación Secundaria,"Cl. Europa, S/N",Almaden,(Ciudad Real),CP :13400,926713028,926710559,13000384.ies@edu.jccm.es,http://ies-mercurio.centros.castillalamancha.es
Pablo Ruiz Picasso,Público,[13000372],Instituto de Educación Secundaria,"Av. de España, 68",Almaden,(Ciudad Real),CP :13400,926711068,926710256,13000372.ies@edu.jccm.es,http://ies-prpicasso.centros.castillalamancha.es
- Sin Denominación -,Público,[13010811],Aula de Educación de Adultos,"Cl. Arzobispo Cañizares, 6",Almagro,(Ciudad Real),CP :13270,,,aepa_almagro@edu.jccm.es,http://edu.jccm.es/aepa/almagro
Antonio Calvín,Público,[13000451],Instituto de Educación Secundaria,"Cl. Ejido de Calatrava, 3",Almagro,(Ciudad Real),CP :13270,926882586,926860351,13000451.ies@edu.jccm.es,http://ies-antoniocalvin.centros.castillalamancha.es
Clavero Fernández de Córdoba,Público,[13000475],Instituto de Educación Secundaria,"Ps. Viejo de la Florida,1",Almagro,(Ciudad Real),CP :13270,926861249,926860170,13000475.ies@edu.jccm.es,http://ies-claverofernandezdecordoba.centros.castillalamancha.es
Diego de Almagro,Público,[13000414],Colegio de Educación Infantil y Primaria,"Ps. Plaza de Toros, 15",Almagro,(Ciudad Real),CP :13270,926861047,926861047,13000414.cp@edu.jccm.es,http://ceip-diegodealmagro.centros.castillalamancha.es
La Comedia,Público,[13011072],Escuela de Educación Infantil,"Ps. de la Estacion, 4",Almagro,(Ciudad Real),CP :13270,926860391,926860391,13011072.ei@edu.jccm.es,
Marioneta,Público,[13011278],Escuela de Educación Infantil,"Cl. Conde de Barcelona, 2",Almagro,(Ciudad Real),CP :13270,926261462,686223180,bienestarsocial@almagro.es,
Miguel de Cervantes Saavedra,Público,[13000402],Colegio de Educación Infantil y Primaria,"Pz. Cervantes, 1",Almagro,(Ciudad Real),CP :13270,926261009,926261009,13000402.cp@edu.jccm.es,http://ceip-cervantesalmagro.centros.castillalamancha.es
Pablo Molina,Público,[13009569],Escuela Pública de Música y Danza,"Cl. Gran Maestre, 2",Almagro,(Ciudad Real),CP :13270,,926882000,escuelademusica@almagro.es,
Paseo Viejo de la Florida,Público,[13004377],Colegio de Educación Infantil y Primaria,"Ps. Viejo de la Florida, 2",Almagro,(Ciudad Real),CP :13270,926860736,926860736,13004377.cp@edu.jccm.es,http://ceip-paseoviejodelaflorida.centros.castillalamancha.es
- Sin Denominación -,Público,[13005126],Aula de Educación de Adultos,"Cl. Corredera, 12",Almodovar del Campo,(Ciudad Real),CP :13580,,926423850,aepa_almodovardc@edu.jccm.es,
Gloria Fuertes,Público,[13011281],Escuela de Educación Infantil,"Ps. de los Carmelitas, 5",Almodovar del Campo,(Ciudad Real),CP :13580,926483671,926483340,escuelasinfantiles@alsimaconsultores.es,
Maestro Ávila y Santa Teresa,Priv.Concert.,[13000529],Centro Privado de Educación Infantil Primaria y Secundaria,"Ps. Padres Carmelitas, 5",Almodovar del Campo,(Ciudad Real),CP :13580,926464197,926464197,13000529.con@edu.jccm.es,http://www.colegiomaestroavila.es
Maestro Juan de Ávila,Público,[13000505],Colegio de Educación Infantil y Primaria,"Cl. Corredera, 28",Almodovar del Campo,(Ciudad Real),CP :13580,926483225,926483225,13000505.cp@edu.jccm.es,http://ceip-maestrojuandeavilaalmodovar.centros.castillalamancha.es
San Juan Bautista de la Concepción,Público,[13000566],Instituto de Educación Secundaria,"Cl. Doctor Fleming, 8",Almodovar del Campo,(Ciudad Real),CP :13580,926483572,926483343,13000566.ies@edu.jccm.es,http://ies-almodovar.centros.castillalamancha.es
Virgen del Carmen,Público,[13000517],Colegio de Educación Infantil y Primaria,"Cl. Jacobo Roldan, 2",Almodovar del Campo,(Ciudad Real),CP :13580,926483881,926483881,13000517.cp@edu.jccm.es,http://ceip-virgendelcarmen.centros.castillalamancha.es
Santiago Apóstol,Público,[13000633],Colegio de Educación Infantil y Primaria,"Cl. San Antonio, 20",Almuradiel,(Ciudad Real),CP :13760,926339189,926339189,13000633.cp@edu.jccm.es,http://ceip-sapostolalmuradiel.centros.castillalamancha.es
Pitupinos,Público,[13011291],Escuela de Educación Infantil,"Cl. Vicente Lara Espinosa, 6",Arenales de San Gregorio,(Ciudad Real),CP :13619,926584016,926584227,ei.pitupinos@gmail.com,
Miguel de Cervantes,Público,[13012039],Colegio Rural Agrupado,"Cl. Templarios, 1",Arenas de San Juan,(Ciudad Real),CP :13679,,926893127,13012039.cra@edu.jccm.es,
- Sin Denominación -,Público,[13005151],Aula de Educación de Adultos,"Cl. Tercia, 22",Argamasilla de Alba,(Ciudad Real),CP :13710,926513929,926513929,13004559.cea@jccm.es,
Alba,Público,[13011308],Escuela de Educación Infantil,"Cl. Angel Dotor, S/N",Argamasilla de Alba,(Ciudad Real),CP :13710,,926523427,coordinadorcs@argamasilladealba.es,
Azorín,Público,[13003831],Colegio de Educación Infantil y Primaria,"Cl. Conde de Barcelona, 14",Argamasilla de Alba,(Ciudad Real),CP :13710,926523053,926521538,13003831.cp@edu.jccm.es,http://ceip-azorin.centros.castillalamancha.es
Divino Maestro,Público,[13000700],Colegio de Educación Infantil y Primaria,"Cl. Ancha, 66",Argamasilla de Alba,(Ciudad Real),CP :13710,926539504,926539504,13000700.cp@edu.jccm.es,http://edu.jccm.es/cp/divinomaestro
Nuestra Señora de Peñarroya,Público,[13000712],Colegio de Educación Infantil y Primaria,"Cl. Batanes, 16",Argamasilla de Alba,(Ciudad Real),CP :13710,926523402,926521346,13000712.cp@edu.jccm.es,http://ceip-penarroya.centros.castillalamancha.es
Veo Veo,Privado,[13011680],Centro Privado de Educación Infantil,"Cl. Infantas, 36",Argamasilla de Alba,(Ciudad Real),CP :13710,926523579,926523579,guarderiainfantilveoveo@hotmail.com,
Vicente Cano,Público,[13005278],Instituto de Educación Secundaria,"Cl. Prolongacion Encuentros, S/N",Argamasilla de Alba,(Ciudad Real),CP :13710,926539530,926539520,13005278.ies@edu.jccm.es,http://ies-vicentecano.centros.castillalamancha.es
- Sin Denominación -,Público,[13005138],Aula de Educación de Adultos,"Cl. Pinto, S/N",Argamasilla de Calatrava,(Ciudad Real),CP :13440,,926423850,13005138.cea@edu.jccm.es,
Alonso Quijano,Público,[13005281],Instituto de Educación Secundaria,"Cl. Rivera, S/N",Argamasilla de Calatrava,(Ciudad Real),CP :13440,926477676,926477450,13005281.seces@edu.jccm.es,http://ies-alonsoquijano.centros.castillalamancha.es
Gloria Fuertes,Público,[13011311],Escuela de Educación Infantil,"Pz. Santos Martires, S/N",Argamasilla de Calatrava,(Ciudad Real),CP :13440,926440068,629575548,caiargamasilla@accindes.org,
Rodríguez Marín,Público,[13000748],Colegio de Educación Infantil y Primaria,"Cl. Rodriguez Marin, 27",Argamasilla de Calatrava,(Ciudad Real),CP :13440,926442504,926442504,13000748.cp@edu.jccm.es,http://ceip-rodriguezmarin.centros.castillalamancha.es
Virgen del Socorro,Público,[13000773],Colegio de Educación Infantil y Primaria,"Cl. Tirtefuera, S/N",Argamasilla de Calatrava,(Ciudad Real),CP :13440,926442503,926442503,13000773.cp@edu.jccm.es,http://edu.jccm.es/cp/virgendelsocorro
Río San Marcos,Público,[13010754],Colegio Rural Agrupado,"Pz. de las Escuelas, 36",Arroba de los Montes,(Ciudad Real),CP :13193,926771705,926771705,13010754.cra@edu.jccm.es,http://edu.jccm.es/cra/riosanmarcos
José María del Moral,Público,[13000797],Colegio de Educación Infantil y Primaria,"Cl. Real, 68",Ballesteros de Calatrava,(Ciudad Real),CP :13432,926842017,926842017,13000797.cp@edu.jccm.es,
- Sin Denominación -,Público,[13010821],Aula de Educación de Adultos,"Pz. Pozo Nieve, 1",Bolaños de Calatrava,(Ciudad Real),CP :13260,,,aepa_bdcalatrava@edu.jccm.es,
Arzobispo Calzado,Público,[13000815],Colegio de Educación Infantil y Primaria,"Cl. Cristobal Colon, S/N",Bolaños de Calatrava,(Ciudad Real),CP :13260,926872865,926870334,13000815.cp@edu.jccm.es,http://ceip-arzobispocalzado.centros.castillalamancha.es
Berenguela de Castilla,Público,[13004778],Instituto de Educación Secundaria,"Cl. Teofila Sanchez, 14",Bolaños de Calatrava,(Ciudad Real),CP :13260,926872830,926872909,13004778.ies@edu.jccm.es,http://ies-berenguela.centros.castillalamancha.es
Efa la Serna,Priv.Concert.,[13003865],Centro Privado de Educación Secundaria,"Cr. de Almagro, 150",Bolaños de Calatrava,(Ciudad Real),CP :13260,926870335,926870335,efa-laserna@efa-centro.org,http://www.efa-centro.org/
El Castillo,Público,[13011084],Escuela de Educación Infantil,"Cl. Guarderia, 2",Bolaños de Calatrava,(Ciudad Real),CP :13260,926870660,926870660,13011084.ei@edu.jccm.es,
Fernando III el Santo,Público,[13000803],Colegio de Educación Infantil y Primaria,"Cl. Colegio, 2",Bolaños de Calatrava,(Ciudad Real),CP :13260,926884310,926870216,13000803.cp@edu.jccm.es,http://edu.jccm.es/cp/sanfernando
Molino de Viento,Público,[13004936],Colegio de Educación Infantil y Primaria,"Cl. Antonio Machado, 2",Bolaños de Calatrava,(Ciudad Real),CP :13260,926871613,926871613,13004936.cp@edu.jccm.es,http://ceip-molinodeviento.centros.castillalamancha.es
Mundo Mágico,Público,[13011977],Escuela de Educación Infantil,"Cl. Azucena, S/N",Bolaños de Calatrava,(Ciudad Real),CP :13260,,926884341,bolanos@arastasi.com,
Virgen del Monte,Público,[13003786],Colegio de Educación Infantil y Primaria,"Cl. Doctor Fleming, S/N",Bolaños de Calatrava,(Ciudad Real),CP :13260,926870332,926870332,13003786.cp@edu.jccm.es,http://edu.jccm.es/cp.virgendelmonte/
Cervantes,Público,[13000839],Colegio de Educación Infantil y Primaria,"Cr. Cabezarrubias, S/N",Brazatortas,(Ciudad Real),CP :13450,926471052,926471052,13000839.cp@edu.jccm.es,http://ceip-cervantesbrazatortas.centros.castillalamancha.es
Nuestra Señora de Finibusterre,Público,[13000864],Colegio de Educación Infantil y Primaria,"Cl. Doña Maria Antonia Zamorano, 1",Cabezarados,(Ciudad Real),CP :13192,926835354,926835354,13000864.cp@edu.jccm.es,http://edu.jccm.es/cp/finibusterre
- Sin Denominación -,Público,[13005141],Aula de Educación de Adultos,"Cl. Constitución, 13",Calzada de Calatrava,(Ciudad Real),CP :13370,,926423850,aepa_calzadadc@edu.jccm.es,
Eduardo Valencia,Público,[13000906],Instituto de Educación Secundaria,"Cl. Cervantes, 168",Calzada de Calatrava,(Ciudad Real),CP :13370,926875346,926875346,13000906.ies@edu.jccm.es,http://edu.jccm.es/ies/eduardovalencia
Ignacio de Loyola,Público,[13000891],Colegio de Educación Infantil y Primaria,"Cl. Santa Maria, 62",Calzada de Calatrava,(Ciudad Real),CP :13370,926875255,926875255,13000891.cp@edu.jccm.es,http://edu.jccm.es/cp/ignaciodeloyola
Santa Teresa de Jesús,Público,[13000888],Colegio de Educación Infantil y Primaria,"Cl. Cervantes, 166",Calzada de Calatrava,(Ciudad Real),CP :13370,926875254,926875254,13000888.cp@edu.jccm.es,http://ceip-santateresadejesus.centros.castillalamancha.es
Solete,Público,[13011321],Escuela de Educación Infantil,"Cl. Cervantes, 24",Calzada de Calatrava,(Ciudad Real),CP :13370,926875110,926876101,cai@calzadadecalatrava.es,
- Sin Denominación -,Público,[13005011],Aula de Educación de Adultos,"Cl. Eruelas, 51",Campo de Criptana,(Ciudad Real),CP :13610,,926560400,aepa_cdecriptana@edu.jccm.es,
Alcázar de San Juan-Campo de Criptana,Público,[13004717],Conservatorio Profesional de Música,"Cl. Valenzuela, 10",Campo de Criptana,(Ciudad Real),CP :13610,926589023,926560743,13004717.cm@edu.jccm.es,http://edu.jccm.es/cm/campodecriptana
Domingo Miras,Público,[13003968],Colegio de Educación Infantil y Primaria,"Av. de Sara Montiel, 38",Campo de Criptana,(Ciudad Real),CP :13610,926561212,926561212,13003968.cp@edu.jccm.es,http://ceip-domingomiras.centros.castillalamancha.es
Efa Molino de Viento,Priv.Concert.,[13000992],Centro Privado de Educación Secundaria,"Cl. Cristo de Villajos, S/N",Campo de Criptana,(Ciudad Real),CP :13610,926563461,926560832,secretariamviento@efa-centro.org,http://www.efa-centro.org
El Duende,Privado,[13011692],Centro Privado de Educación Infantil,"Cl. Antonio Espin, 60",Campo de Criptana,(Ciudad Real),CP :13610,92656113,926561113,,
Escuela Municipal de Musica y Danza de Campo de Criptana,Público,[13011023],Escuela Pública de Música y Danza,Cl. Eruelas C/V Ctra. N-420,Campo de Criptana,(Ciudad Real),CP :13610,,926562034,escuelademusica@campodecriptana.es,
Isabel Perillán y Quirós,Público,[13001005],Instituto de Educación Secundaria,Av. de la Hispanidad 20,Campo de Criptana,(Ciudad Real),CP :13610,926589653,926560437,13001005.ies@edu.jccm.es,http://edu.jccm.es/ies/isabelperillan
Los Gigantes,Público,[13011096],Escuela de Educación Infantil,"Cl. Soledad, 4",Campo de Criptana,(Ciudad Real),CP :13610,926561657,926561657,13011096.ei@edu.jccm.es,
Los Quijotes,Público,[13011333],Escuela de Educación Infantil,"Cl. Virgen de Criptana, S/N",Campo de Criptana,(Ciudad Real),CP :13610,926560090,926553355,ccriptana@local.jccm.es,
María Auxiliadora,Priv.Concert.,[13004146],Centro Privado de Educación Especial,"Cr. de Arenales, 2",Campo de Criptana,(Ciudad Real),CP :13610,926562379,926561112,mariaauxiliadora@aspana.es,
Nuestra Señora del Rosario,Priv.Concert.,[13000980],Centro Privado de Educación Infantil Primaria y Secundaria,"Cl. Cervantes, 25",Campo de Criptana,(Ciudad Real),CP :13610,926589138,926589660,nsrosarioeso@fefcoll.org,
Sagrado Corazón,Público,[13000967],Colegio de Educación Infantil y Primaria,"Cl. Sara Montiel, 23",Campo de Criptana,(Ciudad Real),CP :13610,926561140,926561140,13000967.cp@edu.jccm.es,http://edu.jccm.es/cp/sagradocor
Virgen de Criptana,Público,[13000955],Colegio de Educación Infantil y Primaria,"Cl. Virgen de Criptana, 150",Campo de Criptana,(Ciudad Real),CP :13610,926561173,926561173,13000955.cp@edu.jccm.es,http://edu.jccm.es/cp/virgendecriptana
Virgen de la Paz,Público,[13000943],Colegio de Educación Infantil y Primaria,"Cl. Don Quijote, 39",Campo de Criptana,(Ciudad Real),CP :13610,926561493,926561493,13000943.cp@edu.jccm.es,http://ceip-virgendelapaz.centros.castillalamancha.es
Clara Campoamor,Público,[13011345],Escuela de Educación Infantil,"Av. America, S/N",Carrion de Calatrava,(Ciudad Real),CP :13150,926814023,926814081,aedl@carriondecalatrava.es,
El Arca de los Sueños,Privado,[13011436],Centro Privado de Educación Infantil,"Cl. Velazquez, S/N",Carrion de Calatrava,(Ciudad Real),CP :13150,,,caielarca@hotmail.com,
Nuestra Señora de la Encarnación,Público,[13001030],Colegio de Educación Infantil y Primaria,"Cl. Real, S/N",Carrion de Calatrava,(Ciudad Real),CP :13150,926814031,926814031,13001030.cp@edu.jccm.es,http://ceip-colecarrion.centros.castillalamancha.es
Virgen del Salido,Público,[13001054],Colegio de Educación Infantil y Primaria,"Cl. Zona Escolar, S/N",Carrizosa,(Ciudad Real),CP :13329,926368142,926368142,13001054.cp@edu.jccm.es,http://ceip-virgendelsalido.centros.castillalamancha.es
San Juan de Ávila,Público,[13001066],Colegio de Educación Infantil y Primaria,"Cl. Ermita, 77",Castellar de Santiago,(Ciudad Real),CP :13750,926340127,926340127,13001066.cp@edu.jccm.es,http://ceip-casanjuandeavila.centros.castillalamancha.es
La Fuente del Barco,Público,[13011357],Escuela de Educación Infantil,"Cl. Rosario Marquez, 36",Chillon,(Ciudad Real),CP :13412,926712849,628367844,,
Nuestra Señora del Castillo,Público,[13001467],Colegio de Educación Infantil y Primaria,"Av. de España, 35",Chillon,(Ciudad Real),CP :13412,926711600,926711600,13001467.cp@edu.jccm.es,http://ceip-nsdelcastillo.centros.castillalamancha.es
Alarcos,Público,[13001421],Colegio de Educación Infantil y Primaria,"Rd. del Saliente, 1",Valverde,(Ciudad Real),CP :13195,926219944,926219944,13001421.cp@edu.jccm.es,
Alcalde José Cruz Prado,Público,[13001078],Colegio de Educación Infantil y Primaria,"Cl. Luz, 36",Ciudad Real,(Ciudad Real),CP :13003,926255941,926225377,13001078.cp@edu.jccm.es,http://ceip-alcaldejosecruzprado.centros.castillalamancha.es/
Alcalde José Maestro,Público,[13004882],Colegio de Educación Infantil y Primaria,"Cl. Enebro, 9",Ciudad Real,(Ciudad Real),CP :13005,926200334,926211650,13004882.cp@edu.jccm.es,http://edu.jccm.es/cp/ajmaestro
Alfonso X,Público,[13011102],Escuela de Educación Infantil,"Cm. Campillo, S/N",Ciudad Real,(Ciudad Real),CP :13002,926213633,926213633,13011102.ei@edu.jccm.es,
Allegro-Vivace,Privado,[13012246],Centro Privado Autorizado Elemental de Música,"Ps. Carlos Eraña, 19",Ciudad Real,(Ciudad Real),CP :13004,,,,
Altagracia,Privado,[13011709],Centro Privado de Educación Infantil,"Cl. Altagracia, 5",Ciudad Real,(Ciudad Real),CP :13003,,926220033,eialtagracia@hotmail.es,
Ángel Andrade,Público,[13001111],Colegio de Educación Infantil y Primaria,"Cl. Vicente Aleixandre, 3",Ciudad Real,(Ciudad Real),CP :13004,926220242,926220242,13001111.cp@edu.jccm.es,http://ceip-angelandrade.centros.castillalamancha.es
Antonio Gala,Público,[13004067],Centro Público de Educación de Personas Adultas,"Cl. Bernardo Balbuena, 5 - 2ª Planta",Ciudad Real,(Ciudad Real),CP :13002,926214766,926216124,13004067.cea@edu.jccm.es,http://edu.jccm.es/cea/ciudadreal
Atenea,Público,[13004675],Instituto de Educación Secundaria,"Av. Puente de Retama, 1",Ciudad Real,(Ciudad Real),CP :13071,926216524,926254150,13004675.ies@edu.jccm.es,http://edu.jccm.es/ies/atenea
Atenea,Privado,[13011710],Centro Privado de Educación Infantil,"Cl. Calvario, 39",Ciudad Real,(Ciudad Real),CP :13004,,926231194,info@escuelainfantilatenea.com,
Autrade,Priv.Concert.,[13004961],Centro Privado de Educación Especial,"Av. Santa Maria de Alarcos, S/N",Ciudad Real,(Ciudad Real),CP :13004,926254259,926254259,autrade@autrade.org,
Bambini School,Privado,[13011783],Centro Privado de Educación Infantil,"Cl. Romero, 38",Ciudad Real,(Ciudad Real),CP :13005,,926211428,kidsgardencr@gmail.com,
Carlos Eraña,Público,[13001391],Colegio de Educación Infantil y Primaria,"Cl. Alcalde Bernardo Balbuena, 2",Ciudad Real,(Ciudad Real),CP :13002,926212141,926212141,13001391.cp@edu.jccm.es,http://edu.jccm.es/ceip.carloserana
Carlos Vázquez,Público,[13004389],Colegio de Educación Infantil y Primaria,"Av. Torreon del Alcazar, 4",Ciudad Real,(Ciudad Real),CP :13004,926220979,926252936,13004389.cp@edu.jccm.es,http://ceip-carlosvazquez.centros.castillalamancha.es
Colorín Colorado,Privado,[13011722],Centro Privado de Educación Infantil,"Cl. Tomillo, 6",Ciudad Real,(Ciudad Real),CP :13005,,926210774,,
Cristóbal Colón,Público,[13004651],Colegio de Educación Infantil y Primaria,"Cl. Venezuela, S/N",Ciudad Real,(Ciudad Real),CP :13005,926200391,926273484,13004651.cp@edu.jccm.es,http://edu.jccm.es/cp/cristobal_colon
Cumbria Peques,Privado,[13012155],Centro Privado de Educación Infantil,"Cr. de la Atalaya, S/N",Ciudad Real,(Ciudad Real),CP :13005,,,,
Dadu Garden,Privado,[13011734],Centro Privado de Educación Infantil,"Cr. Valdepeñas, 34",Ciudad Real,(Ciudad Real),CP :13005,926226266,926226266,dadugarden@hotmail.com,
Don Quijote,Público,[13009466],Colegio de Educación Infantil y Primaria,"Cm. de Santiago, 2 y 4",Ciudad Real,(Ciudad Real),CP :13003,926230221,926270049,13009466.cp@edu.jccm.es,
Dulcinea del Toboso,Público,[13001121],Colegio de Educación Infantil y Primaria,"Cl. Vicente Aleixandre, 1",Ciudad Real,(Ciudad Real),CP :13004,926220963,926220963,13001121.cp@edu.jccm.es,http://ceip-dulcineadeltoboso.centros.castillalamancha.es
El Jardín de Rosita,Privado,[13011746],Centro Privado de Educación Infantil,"Cl. Luz, 12",Ciudad Real,(Ciudad Real),CP :13003,,926230276,caisoletes@navigo.es,
El Lirio,Público,[13011114],Escuela de Educación Infantil,"Cl. Lirio, 8",Ciudad Real,(Ciudad Real),CP :13004,926254658,926220919,juango@jccm.es,
Fantasía,Privado,[13001194],Centro Privado de Educación Infantil,"Cl. las Sabinas, 3",Ciudad Real,(Ciudad Real),CP :13002,,926215501,eifantasia@hotmail.com,
Fantasía II,Privado,[13011758],Centro Privado de Educación Infantil,"Cl. las Sabinas, 4",Ciudad Real,(Ciudad Real),CP :13002,,926215501,eifantasia@hotmail.com,
