CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS,,,,,,,,,,,
AREA TERRITORIAL,CODIGO CENTRO,EMAIL,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,TITULARIDAD
Madrid-Norte,28064068,cp.infantaleonor.sanagustin@educa.madrid.org,CP INF-PRI,INFANTA LEONOR,Avenida Alcalde Lorenzo Ginés Brandin,,,,,,
Madrid-Norte,28035691,cp.infantaselenayc.sansebastian@educa.madrid.org,CP INF-PRI,INFANTAS ELENA Y CRISTINA,Avenida Del Moscatelar,,,,,,
Madrid-Este,28030368,cp.iplacea.alcala@educa.madrid.org,CP INF-PRI,IPLACEA,Calle Del Río Guadarrama,,,,,,
Madrid-Capital,28004552,cp.albeniz.madrid@educa.madrid.org,CP INF-PRI,ISAAC ALBENIZ,Calle De La Drácena,,,,,,
Madrid-Capital,28005568,cp.isaacperal.madrid@educa.madrid.org,CP INF-PRI,ISAAC PERAL,Glorieta De Rufino Novalvos,,,,,,
Madrid-Sur,28079448,cp.isabellacatolica.alcorcon@educa.madrid.org,CP INF-PRI,ISABEL LA CATOLICA,Calle Democracia,Alcorcón,-,28922,-,-,Público
Madrid-Sur,28023662,cp.isabellacatolica.pinto@educa.madrid.org,CP INF-PRI,ISABEL LA CATOLICA,Calle De San Nicolás,,,,,,
Madrid-Capital,28010710,cp.isabellacatolica.madrid@educa.madrid.org,CP INF-PRI,ISABEL LA CATOLICA,Calle De Barceló,,,,,,
Madrid-Oeste,28037995,cp.jacintobenavente.galapagar@educa.madrid.org,CP INF-PRI,JACINTO BENAVENTE,Calle De La Pedriza,,,,,,
Madrid-Sur,28045153,#N/A,CP INF-PRI,JACINTO BENAVENTE,Calle Adolfo Marsillach,,,,,,
Madrid-Capital,28005601,cp.jaimebalmes.madrid@educa.madrid.org,CP INF-PRI,JAIME BALMES,Calle De Sierra De La Solana,,,,,,
Madrid-Este,28036191,cp.jaimevera.torrejondeardoz@educa.madrid.org,CP INF-PRI,JAIME VERA,Calle Brasil,,,,,,
Madrid-Capital,28050343,#N/A,CP INF-PRI,JAIME VERA,Calle De Bravo Murillo,,,,,,
Madrid-Este,28043399,cp.jarama.rivas@educa.madrid.org,CP INF-PRI,JARAMA,Calle Del Olivo,,,,,,
Madrid-Este,28022888,#N/A,CP INF-PRI,JARAMA,Calle Del Doctor Gonzalo Sierra,,,,,,
Madrid-Capital,28005623,cp.javierdemiguel.madrid@educa.madrid.org,CP INF-PRI,JAVIER DE MIGUEL,Calle Del Puerto De Viñamala,,,,,,
Madrid-Sur,28028131,cp.jesusvarela.alcorcon@educa.madrid.org,CP INF-PRI,JESUS VARELA,Avenida De Portugal,,,,,,
Madrid-Sur,28049468,cp.joanmiro.mostoles@educa.madrid.org,CP INF-PRI,JOAN MIRO,Calle París,,,,,,
Madrid-Sur,28038252,cp.joanmiro.leganes@educa.madrid.org,CP INF-PRI,JOAN MIRO,Calle De La Ingeniería,,,,,,
Madrid-Este,28040891,cp.joaquinblume.torrejondeardoz@educa.madrid.org,CP INF-PRI,JOAQUIN BLUME,Calle Joaquín Blume,,,,,,
Madrid-Sur,28038082,cp.joaquincosta.alcorcon@educa.madrid.org,CP INF-PRI,JOAQUIN COSTA,Calle Del Parque Grande,,,,,,
Madrid-Capital,28010722,#N/A,CP INF-PRI,JOAQUIN COSTA,Paseo De Pontones,,,,,,
Madrid-Capital,28005635,cp.joaquindicenta.madrid@educa.madrid.org,CP INF-PRI,JOAQUIN DICENTA,Paseo Olivos,,,,,,
Madrid-Capital,28021306,cp.joaquinturina.madrid@educa.madrid.org,CP INF-PRI,JOAQUIN TURINA,Calle De Arturo Soria,,,,,,
Madrid-Sur,28032420,cp.johnlennon.fuenlabrada@educa.madrid.org,CP INF-PRI,JOHN LENNON,Calle De Grecia,,,,,,
Madrid-Norte,28064071,cp.jonathangalea.algete@educa.madrid.org,CP INF-PRI,JONATHAN GALEA,Calle Enrique Casas,,,,,,
Madrid-Sur,28037193,cp.jorgeguillen.getafe@educa.madrid.org,CP INF-PRI,JORGE GUILLEN,Calle Zaragoza,,,,,,
Madrid-Capital,28021057,cp.jorgeguillen.madrid@educa.madrid.org,CP INF-PRI,JORGE GUILLEN,Avenida De El Ferrol,,,,,,
Madrid-Sur,28037788,cp.jorgeguillen.mostoles@educa.madrid.org,CP INF-PRI,JORGE GUILLEN,Avenida De Alcorcón,,,,,,
Madrid-Este,28045475,#N/A,CP INF-PRI,JORGE GUILLEN,Avenida De Nuestra Señora De La Vega,,,,,,
Madrid-Capital,28005817,cp.jorgemanrique.madrid@educa.madrid.org,CP INF-PRI,JORGE MANRIQUE,Plaza Del Pintor Lucas,,,,,,
Madrid-Capital,28038321,cp.josebergamin.madrid@educa.madrid.org,CP INF-PRI,JOSE BERGAMIN,Calle De Braille,,,,,,
Madrid-Oeste,28041640,cp.josebergamin.boadilla@educa.madrid.org,CP INF-PRI,JOSE BERGAMIN GUTIERREZ,Calle Islas Cíes,,,,,,
Madrid-Capital,28010746,cp.calvosotelo.madrid@educa.madrid.org,CP INF-PRI,JOSE CALVO SOTELO,Avenida De La Ciudad De Barcelona,,,,,,
Madrid-Capital,28074256,cp.josedeechegaray.madrid@educa.madrid.org,CP INF-PRI,JOSE DE ECHEGARAY,Calle De Puentedey,,,,,,
Madrid-Este,28062321,cp.josehierro.rivas@educa.madrid.org,CP INF-PRI,JOSE HIERRO,Avenida De José Hierro,,,,,,
Madrid-Sur,28065531,cp.josehierro.parla@educa.madrid.org,CP INF-PRI,JOSE HIERRO,Calle Acuario,,,,,,
Madrid-Este,28069194,cp.joseiturzaeta.rivas@educa.madrid.org,CP INF-PRI,JOSE ITURZAETA,Calle Bernardo Atxaga,,,,,,
Madrid-Sur,28035639,cp.josejalon.navalcarnero@educa.madrid.org,CP INF-PRI,JOSE JALON,Calle Felguera,,,,,,
Madrid-Capital,28005660,cp.pereda.madrid@educa.madrid.org,CP INF-PRI,JOSE MARIA DE PEREDA,Calle De Mestanza,,,,,,
Madrid-Sur,28031464,#N/A,CP INF-PRI,JOSE MARIA DE PEREDA,Calle Moraña,,,,,,
Madrid-Capital,28021461,cp.ortegaygasset.madrid@educa.madrid.org,CP INF-PRI,JOSE ORTEGA Y GASSET,Calle De Orense,,,,,,
Madrid-Este,28058822,cp.josesaramago.rivas@educa.madrid.org,CP INF-PRI,JOSE SARAMAGO,Calle De José Saramago,,,,,,
Madrid-Oeste,28078614,cp.josefinacarabias.mataelpino@educa.madrid.org,CP INF-PRI,JOSEFINA CARABIAS,Avenida Juan Pablo Ii,,,,,,
Madrid-Capital,28071361,cp.joseptarradellas.madrid@educa.madrid.org,CP INF-PRI,JOSEP TARRADELLAS,Calle De Triacastela,,,,,,
Madrid-Capital,28005684,cp.jovellanos.madrid@educa.madrid.org,CP INF-PRI,JOVELLANOS,Calle De Monroy,,,,,,
Madrid-Sur,28046391,cp.juandeaustria.leganes@educa.madrid.org,CP INF-PRI,JUAN DE AUSTRIA,Avenida Universidad,,,,,,
Madrid-Este,28028751,#N/A,CP INF-PRI,JUAN DE AUSTRIA,Avenida De Juan De Austria,,,,,,
Madrid-Capital,28005696,cp.juandelacierva.madrid@educa.madrid.org,CP INF-PRI,JUAN DE LA CIERVA,Calle De Villarrosa,,,,,,
Madrid-Sur,28069753,#N/A,CP INF-PRI,JUAN DE LA CIERVA,Camino Del Molino,,,,,,
Madrid-Oeste,28025294,cp.juanfalco.valdemorillo@educa.madrid.org,CP INF-PRI,JUAN FALCO,Avenida De Segovia,,,,,,
Madrid-Capital,28026535,cp.juangris.madrid@educa.madrid.org,CP INF-PRI,JUAN GRIS,Calle De Muela De San Juan,,,,,,
Madrid-Sur,28035603,cp.juandeocana.mostoles@educa.madrid.org,CP INF-PRI,JUAN OCAÑA,Avenida De Los Deportes,,,,,,
Madrid-Sur,28023111,cp.perezvillamil.mostoles@educa.madrid.org,CP INF-PRI,JUAN PEREZ VILLAAMIL,Calle Veracruz,,,,,,
Madrid-Capital,28005714,cp.juanramonjimenez.madrid@educa.madrid.org,CP INF-PRI,JUAN RAMON JIMENEZ,Calle Del Marqués De Viana,,,,,,
Madrid-Este,28028945,#N/A,CP INF-PRI,JUAN RAMON JIMENEZ,Calle Juan Ramón Jiménez,,,,,,
Madrid-Capital,28005726,cp.elcano.madrid@educa.madrid.org,CP INF-PRI,JUAN SEBASTIAN ELCANO,Calle De Mirasierra,,,,,,
Madrid-Capital,28020533,cp.juanzaragueta.madrid@educa.madrid.org,CP INF-PRI,JUAN ZARAGUETA,Calle Vía De Los Poblados,,,,,,
Madrid-Capital,28031488,cp.julianbesteiro.madrid@educa.madrid.org,CP INF-PRI,JULIAN BESTEIRO,Avenida De Abrantes,,,,,,
Madrid-Sur,28039086,cp.julianbesteiro.getafe@educa.madrid.org,CP INF-PRI,JULIAN BESTEIRO,Calle Campos De Castilla,,,,,,
Madrid-Sur,28041241,#N/A,CP INF-PRI,JULIAN BESTEIRO,Calle Del Desarrollo,,,,,,
Madrid-Sur,28037685,cp.julianbesteiro.parla@educa.madrid.org,CP INF-PRI,JULIAN BESTEIRO,Calle Santander,,,,,,
Madrid-Capital,28063805,cp.julianmarias.madrid@educa.madrid.org,CP INF-PRI,JULIAN MARIAS,Calle De Budapest,,,,,,
Madrid-Sur,28037594,cp.cortazar.getafe@educa.madrid.org,CP INF-PRI,JULIO CORTAZAR,Avenida De Juan Carlos I,,,,,,
Madrid-Este,28000339,cp.juncal.alcala@educa.madrid.org,CP INF-PRI,JUNCAL,Calle Núñez De Guzmán,,,,,,
Madrid-Capital,28006411,cp.laalameda.madrid@educa.madrid.org,CP INF-PRI,LA ALAMEDA,Calle De Las Musas,,,,,,
Madrid-Sur,28002944,cp.laalhondiga.getafe@educa.madrid.org,CP INF-PRI,LA ALHONDIGA,Calle Buenavista,,,,,,
Madrid-Sur,28045128,cp.lacanada.fuenlabrada@educa.madrid.org,CP INF-PRI,LA CAÑADA,Calle De Concepción Arenal,,,,,,
Madrid-Capital,28037375,cp.ladehesa.madrid@educa.madrid.org,CP INF-PRI,LA DEHESA DEL PRINCIPE,Paseo De Lanceros,,,,,,
Madrid-Oeste,28050446,cp.laencina.lasrozas@educa.madrid.org,CP INF-PRI,LA ENCINA,Calle Ramón Y Cajal,,,,,,
Madrid-Este,28035676,cp.laescuela.rivas@educa.madrid.org,CP INF-PRI,LA ESCUELA,Avenida De Miguel Hernández,,,,,,
Madrid-Este,28060300,cp.lagarena.alcala@educa.madrid.org,CP INF-PRI,LA GARENA,Calle Arturo Soria,,,,,,
Madrid-Este,28024976,cp.lagaviota.torrejondeardoz@educa.madrid.org,CP INF-PRI,LA GAVIOTA,Calle Cristal,,,,,,
Madrid-Capital,28031099,cp.lalatina.madrid@educa.madrid.org,CP INF-PRI,LA LATINA,Calle De Maqueda,,,,,,
Madrid-Este,28077348,cp.laluna.rivas@educa.madrid.org,CP INF-PRI,LA LUNA,Avenida De La Tierra,,,,,,
Madrid-Oeste,28045165,cp.lanavata.galapagar@educa.madrid.org,CP INF-PRI,LA NAVATA,Calle Del Estanque,,,,,,
Madrid-Sur,28045301,cp.lapaloma.parla@educa.madrid.org,CP INF-PRI,LA PALOMA,Calle De La Paloma,,,,,,
Madrid-Capital,28033931,cp.larioja.madrid@educa.madrid.org,CP INF-PRI,LA RIOJA,Calle De León Felipe,,,,,,
Madrid-Este,28050392,cp.lazarzuela.torrejondeardoz@educa.madrid.org,CP INF-PRI,LA ZARZUELA,Calle Almagro,,,,,,
Madrid-Oeste,28039244,cp.lasacacias.pozuelodealarcon@educa.madrid.org,CP INF-PRI,LAS ACACIAS,Calle Diamante,,,,,,
Madrid-Sur,28063891,cp.lasartes.pinto@educa.madrid.org,CP INF-PRI,LAS ARTES,Calle Juana Francés,,,,,,
Madrid-Sur,28060245,cp.lascastaneras.arroyomolinos@educa.madrid.org,CP INF-PRI,LAS CASTAÑERAS,Calle De Andalucía,,,,,,
Madrid-Este,28024061,cp.lasciguenas.rivas@educa.madrid.org,CP INF-PRI,LAS CIGÜEÑAS,Calle De Noruega,,,,,,
Madrid-Sur,28028891,cp.lascumbres.mostoles@educa.madrid.org,CP INF-PRI,LAS CUMBRES,Calle Del Río Ebro,,,,,,
Madrid-Este,28073963,cp.navasdetolosa.paracuellos@educa.madrid.org,CP INF-PRI,LAS NAVAS DE TOLOSA,Avenida De Circunvalación,,,,,,
Madrid-Oeste,28057064,cp.lasveredas.colmenarejo@educa.madrid.org,CP INF-PRI,LAS VEREDAS,Camino De La Nava,,,,,,
Madrid-Sur,28040039,cp.garcianoblejas.villaviciosa2@educa.madrid.org,CP INF-PRI,LAURA GARCIA NOBLEJAS Y BRUNET,Calle Del Gral Sanz Marqués San Juan Puerto Rico,,,,,,
Madrid-Capital,28010761,cp.legadocrespo.madrid@educa.madrid.org,CP INF-PRI,LEGADO CRESPO,Paseo De Las Acacias,,,,,,
Madrid-Sur,28067550,cp.legazpi.arroyomolinos@educa.madrid.org,CP INF-PRI,LEGAZPI,Calle De Cartagena,,,,,,
Madrid-Sur,28049419,cp.leonfelipe.mostoles@educa.madrid.org,CP INF-PRI,LEON FELIPE,Avenida De Carlos V,,,,,,
Madrid-Sur,28037636,cp.leonfelipe.leganes@educa.madrid.org,CP INF-PRI,LEON FELIPE,Avenida De La Mancha,,,,,,
Madrid-Este,28032390,cp.leonfelipe.arganda@educa.madrid.org,CP INF-PRI,LEON FELIPE,Calle Siete Vientos,,,,,,
Madrid-Norte,28031166,#N/A,CP INF-PRI,LEON FELIPE,Avenida De Valencia,,,,,,
Madrid-Sur,28038185,#N/A,CP INF-PRI,LEON FELIPE,Urbanizacion Parque Miraflores,,,,,,
Madrid-Sur,28060257,cp.leonardodavinci.mostoles@educa.madrid.org,CP INF-PRI,LEONARDO DA VINCI,Calle Del Eucalipto,,,,,,
Madrid-Capital,28010898,cp.leopoldoalas.madrid@educa.madrid.org,CP INF-PRI,LEOPOLDO ALAS,Calle De Pedrezuela,,,,,,
Madrid-Capital,28069820,cp.leopoldocalvosotelo.madrid@educa.madrid.org,CP INF-PRI,LEOPOLDO CALVO-SOTELO,Calle De Puente La Reina,,,,,,
Madrid-Sur,28003523,cp.lepanto.leganes@educa.madrid.org,CP INF-PRI,LEPANTO,Calle Río Manzanares,,,,,,
Madrid-Capital,28010771,cp.lepanto.madrid@educa.madrid.org,CP INF-PRI,LEPANTO,Calle De Valderrey,,,,,,
Madrid-Sur,28028842,cp.lopedevega.leganes@educa.madrid.org,CP INF-PRI,LOPE DE VEGA,Avenida De Los Pinos,,,,,,
Madrid-Sur,28037545,cp.lopedevega.fuenlabrada@educa.madrid.org,CP INF-PRI,LOPE DE VEGA,Calle Francisco Javier Sauquillo,,,,,,
Madrid-Capital,28010783,#N/A,CP INF-PRI,LOPE DE VEGA,Calle De Inglaterra,,,,,,
Madrid-Sur,28040842,cp.loranca.fuenlabrada@educa.madrid.org,CP INF-PRI,LORANCA,Paseo Riazor,,,,,,
Madrid-Capital,28020867,cp.lorenzoluzuriaga.madrid@educa.madrid.org,CP INF-PRI,LORENZO LUZURIAGA,Calle De Valencia De Don Juan,,,,,,
Madrid-Capital,28050355,cp.losalmendros.madrid@educa.madrid.org,CP INF-PRI,LOS ALMENDROS,Calle De Ladera De Los Almendros,,,,,,
Madrid-Este,28041792,cp.losalmendros.rivas@educa.madrid.org,CP INF-PRI,LOS ALMENDROS,Avenida De Los Almendros,,,,,,
Madrid-Oeste,28025178,cp.losangeles.torrelodones@educa.madrid.org,CP INF-PRI,LOS ANGELES,Plaza De José María Unceta,,,,,,
Madrid-Sur,28025944,cp.loscastillos.alcorcon@educa.madrid.org,CP INF-PRI,LOS CASTILLOS,Calle Referendum Viñagrande,,,,,,
Madrid-Este,28035688,cp.loscerroschicos.sanmartindelavega@educa.madrid.org,CP INF-PRI,LOS CERROS CHICOS,Calle San Cristóbal,,,,,,
Madrid-Oeste,28042814,cp.losjarales.lasrozas@educa.madrid.org,CP INF-PRI,LOS JARALES-MONTERROZAS,Avenida Esparta,,,,,,
Madrid-Sur,28063881,cp.loslagos.parla@educa.madrid.org,CP INF-PRI,LOS LAGOS,Avenida De Las Lagunas,,,,,,
Madrid-Oeste,28031786,cp.losnegrales.alpedrete@educa.madrid.org,CP INF-PRI,LOS NEGRALES,Calle De San Pablo,,,,,,
Madrid-Oeste,28063982,cp.losolivos.lasrozas@educa.madrid.org,CP INF-PRI,LOS OLIVOS,Camino Perales,,,,,,
Madrid-Capital,28006214,cp.losrosales.madrid@educa.madrid.org,CP INF-PRI,LOS ROSALES,Avenida De Los Rosales,,,,,,
Madrid-Este,28063921,cp.lossantos.santosdelahumosa@educa.madrid.org,CP INF-PRI,LOS SANTOS,Avenida Del Quemado,,,,,,
Madrid-Capital,28069169,cp.loyoladepalacio.madrid@educa.madrid.org,CP INF-PRI,LOYOLA DE PALACIO,Calle Del Embalse De Navacerrada,,,,,,
Madrid-Sur,28035597,cp.alvarezlencero.mostoles@educa.madrid.org,CP INF-PRI,LUIS ALVAREZ LENCERO,Calle Camino De Leganés,,,,,,
Madrid-Capital,28005571,cp.luisbello.madrid@educa.madrid.org,CP INF-PRI,LUIS BELLO,Calle De Luis Cabrera,,,,,,
Madrid-Norte,28037508,cp.luisbunuel.alcobendas@educa.madrid.org,CP INF-PRI,LUIS BUÑUEL,Calle De Jaén,,,,,,
Madrid-Capital,28021367,cp.luiscernuda.madrid@educa.madrid.org,CP INF-PRI,LUIS CERNUDA,Calle Del Carril Del Conde,,,,,,
Madrid-Capital,28005741,cp.gongora.madrid@educa.madrid.org,CP INF-PRI,LUIS DE GONGORA,Calle De Sarriá,,,,,,
Madrid-Sur,28031038,#N/A,CP INF-PRI,LUIS DE GONGORA,Calle Yugoslavia,,,,,,
Madrid-Sur,28035640,cp.luisvives.parla@educa.madrid.org,CP INF-PRI,LUIS VIVES,Calle Felipe Ii,,,,,,
Madrid-Este,28037168,#N/A,CP INF-PRI,LUIS VIVES,Calle Luis Vives,,,,,,
Madrid-Sur,28070986,cp.madreteresadecalcuta.parla@educa.madrid.org,CP INF-PRI,MADRE TERESA DE CALCUTA,Calle Jaime I El Conquistador,,,,,,
Madrid-Capital,28045086,cp.madrid-sur.madrid@educa.madrid.org,CP INF-PRI,MADRID-SUR,Calle Del Puerto De Balbarán,,,,,,
Madrid-Sur,28049389,cp.trinidadgarcia.fuenlabrada@educa.madrid.org,CP INF-PRI,MAESTRA TRINIDAD GARCIA,Calle De Cáceres,,,,,,
Madrid-Capital,28072466,cp.maestropadilla.madrid@educa.madrid.org,CP INF-PRI,MAESTRO PADILLA,Avenida De La Peseta C/v Vía Lusitana,,,,,,
Madrid-Sur,28065541,cp.maestroromanbaillo.valdemoro@educa.madrid.org,CP INF-PRI,MAESTRO ROMAN BAILLO,Avenida Del Mar Egeo,,,,,,
Madrid-Sur,28023534,cp.magerit.parla@educa.madrid.org,CP INF-PRI,MAGERIT,Avenida Juan Carlos I,,,,,,
Madrid-Este,28030344,cp.manuelazana.alcala@educa.madrid.org,CP INF-PRI,MANUEL AZAÑA,Avenida Del Ejército,,,,,,
Madrid-Capital,28010795,cp.bartolomecossio.madrid@educa.madrid.org,CP INF-PRI,MANUEL BARTOLOME COSSIO,Calle De José De Cadalso,,,,,,
Madrid-Capital,28005763,cp.manueldefalla.madrid@educa.madrid.org,CP INF-PRI,MANUEL DE FALLA,Avenida Real De Pinto,,,,,,
Madrid-Sur,28069182,#N/A,CP INF-PRI,MANUEL DE FALLA,Calle De Reinosa,,,,,,
Madrid-Sur,28071206,cp.manueljosequintana.batres@educa.madrid.org,CP INF-PRI,MANUEL JOSE QUINTANA,Calle Del Carranque,,,,,,
Madrid-Sur,28038203,cp.nunezdearenas.getafe@educa.madrid.org,CP INF-PRI,MANUEL NUÑEZ DE ARENAS,Avenida De Las Arcas Del Agua,,,,,,
Madrid-Capital,28010862,#N/A,CP INF-PRI,MANUEL NUÑEZ DE ARENAS,Calle De Martos,,,,,,
Madrid-Capital,28010801,cp.sainzdevicuna.madrid@educa.madrid.org,CP INF-PRI,MANUEL SAINZ DE VICUÑA,Calle Del Camino De Los Vinateros,,,,,,
Madrid-Sur,28063842,cp.manuelvazquezmontalban.leganes@educa.madrid.org,CP INF-PRI,MANUEL VAZQUEZ MONTALBAN,Calle Alcalde Francisco Moreno Menéndez,,,,,,
Madrid-Sur,28067771,cp.manuelamalasana.fuenlabrada@educa.madrid.org,CP INF-PRI,MANUELA MALASAÑA,Calle De Los Arados,,,,,,
Madrid-Capital,28010813,cp.marcelousera.madrid@educa.madrid.org,CP INF-PRI,MARCELO USERA,Calle De Perales De Tajuña,,,,,,
Madrid-Capital,28074578,cp.margaretthatcher.madrid@educa.madrid.org,CP INF-PRI,MARGARET THATCHER,Glorieta De La Playa De San Lorenzo,,,,,,
Madrid-Sur,28037661,cp.margaritaxirgu.mostoles@educa.madrid.org,CP INF-PRI,MARGARITA XIRGU,Avenida De La O.n.u.,,,,,,
Madrid-Sur,28078572,cp.mariablanchard.getafe@educa.madrid.org,CP INF-PRI,MARIA BLANCHARD,Calle Niceto Alcalá Zamora C/v José Prat,Getafe,-,28905,681179487,-,Público
Madrid-Oeste,28078626,cp.mariademaeztu.cerceda@educa.madrid.org,CP INF-PRI,MARIA DE MAEZTU,Calle De Miguel De Unamuno,,,,,,
Madrid-Capital,28079436,cp.mariadevillota.madrid@educa.madrid.org,CP INF-PRI,MARIA DE VILLOTA,Calle De Cañada Del Santísimo,,,,,,
Madrid-Sur,28063878,cp.mariamartin.navalcarnero@educa.madrid.org,CP INF-PRI,MARIA MARTIN,Calle De Las Víctimas Del Terrorismo,,,,,,
Madrid-Sur,28037697,cp.mariamoliner.parla@educa.madrid.org,CP INF-PRI,MARIA MOLINER,Calle Reyes Católicos,,,,,,
Madrid-Capital,28049377,cp.mariamoliner.madrid@educa.madrid.org,CP INF-PRI,MARIA MOLINER,Calle De Arcos De Jalón,,,,,,
Madrid-Sur,28073011,cp.montessori.mostoles@educa.madrid.org,CP INF-PRI,MARIA MONTESSORI,Calle Del Pintor Velázquez,,,,,,
Madrid-Sur,28033771,cp.marianapineda.getafe@educa.madrid.org,CP INF-PRI,MARIANA PINEDA,Avenida De Las Ciudades,,,,,,
Madrid-Oeste,28030371,cp.marianobenlliure.colladovillalba@educa.madrid.org,CP INF-PRI,MARIANO BENLLIURE,Calle Isla De Sálvora,,,,,,
Madrid-Capital,28031348,cp.larra.madrid@educa.madrid.org,CP INF-PRI,MARIANO JOSE DE LARRA,Calle De Longares,,,,,,
Madrid-Este,28045062,cp.mariobenedetti.rivas@educa.madrid.org,CP INF-PRI,MARIO BENEDETTI,Camino De La Partija,,,,,,
Madrid-Oeste,28066119,cp.vargasllosa.lasrozas@educa.madrid.org,CP INF-PRI,MARIO VARGAS LLOSA,Avenida De Atenas,,,,,,
Madrid-Sur,28003535,cp.marquesdeleganes.leganes@educa.madrid.org,CP INF-PRI,MARQUES DE LEGANES,Calle Pizarro,,,,,,
Madrid-Capital,28005830,cp.marquesdemarcenado.madrid@educa.madrid.org,CP INF-PRI,MARQUES DE MARCENADO,Calle De Linneo,,,,,,
Madrid-Capital,28021148,cp.marquesdesuanzes.madrid@educa.madrid.org,CP INF-PRI,MARQUES DE SUANZES,Avenida Del Veinticinco De Septiembre,,,,,,
Madrid-Capital,28018496,cp.martinezmontanes.madrid@educa.madrid.org,CP INF-PRI,MARTINEZ MONTAÑES,Calle De Hacienda De Pavones,,,,,,
Madrid-Sur,28078596,cp.marujamallo.mostoles@educa.madrid.org,CP INF-PRI,MARUJA MALLO,Avenida Vía Láctea C/v Av. De La Onu C/v Camino Human,Móstoles,-,28936,914262634,-,Público
Madrid-Capital,28005866,cp.mejico.madrid@educa.madrid.org,CP INF-PRI,MEJICO,Avenida De Badajoz,,,,,,
Madrid-Capital,28005878,cp.mendeznunez.madrid@educa.madrid.org,CP INF-PRI,MENDEZ NUNEZ,Calle De Alicun,,,,,,
Madrid-Este,28029913,cp.menendezpidal.coslada@educa.madrid.org,CP INF-PRI,MENENDEZ PIDAL,Avenida De España,,,,,,
Madrid-Capital,28005891,cp.menendezpidal.madrid@educa.madrid.org,CP INF-PRI,MENENDEZ PIDAL,Calle De La Encomienda De Palacios,,,,,,
Madrid-Capital,28005881,cp.menendezypelayo.madrid@educa.madrid.org,CP INF-PRI,MENENDEZ Y PELAYO,Calle De Méndez Álvaro,,,,,,
Madrid-Capital,28029123,cp.mesetadeorcasitas.madrid@educa.madrid.org,CP INF-PRI,MESETA DE ORCASITAS,Calle Del Camino Viejo De Villaverde,,,,,,
Madrid-Capital,28005908,cp.mesoneroromanos.madrid@educa.madrid.org,CP INF-PRI,MESONERO ROMANOS,Calle De Pont De Molins,,,,,,
Madrid-Capital,28010849,cp.blascovilatela.madrid@educa.madrid.org,CP INF-PRI,MIGUEL BLASCO VILATELA,Calle De Los Hermanos García Noblejas,,,,,,
Madrid-Este,28029691,cp.cervantes.mejorada@educa.madrid.org,CP INF-PRI,MIGUEL DE CERVANTES,Calle De Francisco De Goya,,,,,,
Madrid-Sur,28003833,cp.cervantes.leganes@educa.madrid.org,CP INF-PRI,MIGUEL DE CERVANTES,Calle Aragón,,,,,,
Madrid-Oeste,28042152,#N/A,CP INF-PRI,MIGUEL DE CERVANTES,Calle Ruiz De Alarcón,,,,,,
Madrid-Norte,28038136,cp.cervantes.trescantos@educa.madrid.org,CP INF-PRI,MIGUEL DE CERVANTES,Avenida Literatos,,,,,,
Madrid-Sur,28076307,#N/A,CP INF-PRI,MIGUEL DE CERVANTES,Calle De Maritornes C/v Insula Malindrania,Getafe,-,28906,910517794,910517842,Público
Madrid-Este,28024964,#N/A,CP INF-PRI,MIGUEL DE CERVANTES,Avenida Madrid,,,,,,
Madrid-Capital,28010850,cp.unamuno.madrid@educa.madrid.org,CP INF-PRI,MIGUEL DE UNAMUNO,Calle De Alicante,,,,,,
Madrid-Oeste,28002403,cp.delibes.colladovillalba@educa.madrid.org,CP INF-PRI,MIGUEL DELIBES,Calle Ruiz De Alarcón,,,,,,
Madrid-Este,28002041,cp.delibes.camporeal@educa.madrid.org,CP INF-PRI,MIGUEL DELIBES,Paseo Pozuelo,,,,,,
Madrid-Norte,28071814,#N/A,CP INF-PRI,MIGUEL DELIBES,Calle Alonso Zamora Vicente C/v Rosa Chacel,,,,,,
Madrid-Sur,28038288,#N/A,CP INF-PRI,MIGUEL DELIBES,Calle Maestro,,,,,,
Madrid-Sur,28049420,cp.delibes.mostoles@educa.madrid.org,CP INF-PRI,MIGUEL DELIBES,Avenida De La O.n.u.,,,,,,
Madrid-Sur,28040878,#N/A,CP INF-PRI,MIGUEL DELIBES,Calle Felipe Ii,,,,,,
Madrid-Sur,28032389,cp.miguelhernandez.alcorcon@educa.madrid.org,CP INF-PRI,MIGUEL HERNANDEZ,Calle Pablo Neruda,,,,,,
Madrid-Este,28034052,#N/A,CP INF-PRI,MIGUEL HERNANDEZ,Calle Rafael Sánchez Ferlosio,,,,,,
Madrid-Sur,28032468,cp.miguelhernandez.getafe@educa.madrid.org,CP INF-PRI,MIGUEL HERNANDEZ,Avenida De Los Reyes Católicos,,,,,,
Madrid-Este,28033898,#N/A,CP INF-PRI,MIGUEL HERNANDEZ,Calle Magdalena,,,,,,
Madrid-Este,28031026,cp.miguelhernandez.arganda@educa.madrid.org,CP INF-PRI,MIGUEL HERNANDEZ,Calle Doctor Marañón,,,,,,
Madrid-Sur,28033813,#N/A,CP INF-PRI,MIGUEL HERNANDEZ,Avenida Europa,,,,,,
